id	title	description	link	image_link	additional_image_link	availability	price	brand	condition	mpn	identifier_exists	google_product_category	product_type	shipping(country:service:price:min_handling_time:max_handling_time:min_transit_time:max_transit_time)
TG-PLATE-100	Tap to Give NFC Plate for Churches (100-199 Pack)	Custom-printed NFC tap-to-give plate for churches. Mount on pew backs or chairs — congregants tap their phone to open your church's giving page instantly. No app required. Works with iPhone 6+ and Android 4.4+. Compatible with Tithely, Pushpay, Givelify, Donorbox, Anedot, Subsplash, and any giving platform with a URL. 4-inch (100mm) diameter, durable waterproof PVC, NTAG215 NFC chip, 3M adhesive back included. Volume pricing: 100-199 plates at $4.50 each.	https://tap.giving/tap-to-give-plate.html	https://tap.giving/assets/tap-to-give-product-for-churches%20(1).png	https://tap.giving/assets/Pews.webp	in_stock	4.50 USD	Tap.Giving	new	TG-NFC-PLATE-100	FALSE	5967	Church Supplies > Giving Technology > NFC Plates	US:Standard:0 USD:5:10:5:15
TG-PLATE-200	Tap to Give NFC Plate for Churches (200-399 Pack)	Custom-printed NFC tap-to-give plate for churches. Mount on pew backs or chairs — congregants tap their phone to open your church's giving page instantly. No app required. Works with iPhone 6+ and Android 4.4+. Compatible with Tithely, Pushpay, Givelify, Donorbox, Anedot, Subsplash, and any giving platform with a URL. 4-inch (100mm) diameter, durable waterproof PVC, NTAG215 NFC chip, 3M adhesive back included. Volume pricing: 200-399 plates at $4.00 each.	https://tap.giving/tap-to-give-plate.html	https://tap.giving/assets/tap-to-give-product-for-churches%20(1).png	https://tap.giving/assets/Pews.webp	in_stock	4.00 USD	Tap.Giving	new	TG-NFC-PLATE-200	FALSE	5967	Church Supplies > Giving Technology > NFC Plates	US:Standard:0 USD:5:10:5:15
TG-PLATE-400	Tap to Give NFC Plate for Churches (400+ Pack)	Custom-printed NFC tap-to-give plate for churches. Mount on pew backs or chairs — congregants tap their phone to open your church's giving page instantly. No app required. Works with iPhone 6+ and Android 4.4+. Compatible with Tithely, Pushpay, Givelify, Donorbox, Anedot, Subsplash, and any giving platform with a URL. 4-inch (100mm) diameter, durable waterproof PVC, NTAG215 NFC chip, 3M adhesive back included. Volume pricing: 400+ plates at $3.50 each — best value.	https://tap.giving/tap-to-give-plate.html	https://tap.giving/assets/tap-to-give-product-for-churches%20(1).png	https://tap.giving/assets/Pews.webp	in_stock	3.50 USD	Tap.Giving	new	TG-NFC-PLATE-400	FALSE	5967	Church Supplies > Giving Technology > NFC Plates	US:Standard:0 USD:5:10:5:15
